,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
3892,2022-03-18 18:08:41+00:00,"RT @CarminaArias6: Por qué no actuó la policía??
No eran de izquierdas??
Los piquetes de la huelga del transporte impiden el paso de camion…", por qu  no actu  la polic a   no eran de izquierdas   los piquetes de la huelga del transporte impiden el paso de camion ,raixa59,es,0,1,2014-09-22 22:55:46+00:00,4239,False,176486,Barcelona  Catalunya ,,1504882496651075587
3900,2022-03-18 18:08:13+00:00,RT @eternorumbero: La Sinfónica de Galicia anula su concierto en Vilagarcía por la huelga de transporte https://t.co/hYIXWTYPc0 https://t.c…, la sinf nica de galicia anula su concierto en vilagarc a por la huelga de transporte    ,DuranEstevez00,es,0,1,2014-09-02 13:35:00+00:00,2100,False,87402,,,1504882378577264640
3904,2022-03-18 18:07:57+00:00,RT @COPEMERIDA: 🚚 Macha por Mérida del sector del transporte en su 5º día de huelga #transportistas #huelga #huelgadetransportes https://t.…,   macha por m rida del sector del transporte en su 5  d a de huelga  transportistas  huelga  huelgadetransportes  ,M_HURTADOS,es,0,8,2015-03-11 23:48:42+00:00,1038,False,47049,España,,1504882312932216837
3907,2022-03-18 18:07:53+00:00,Huelga en el transporte: Protesta ante la ministra de Transportes en Valladolid https://t.co/6dMksDREge,huelga en el transporte  protesta ante la ministra de transportes en valladolid  ,diariosevilla,es,7,3,2009-04-22 10:41:49+00:00,213567,True,4595,"Sevilla, Spain",,1504882296444395523
3909,2022-03-18 18:07:51+00:00,"📲 #ResumenSemanal | Los paros en el sector, la nieve de polvo sahariano o el segundo aniversario del estado de alarma; algunos de los temas más destacados

Te traemos lo más destacado de la semana aquí 👇 https://t.co/dDhv6FIG2w",   resumensemanal   los paros en el sector  la nieve de polvo sahariano o el segundo aniversario del estado de alarma  algunos de los temas m s destacados  te traemos lo m s destacado de la semana aqu     ,granadadigital,es,0,0,2010-04-20 08:27:26+00:00,35427,False,1647,"Granada, España",,1504882287430840322
3926,2022-03-18 18:06:51+00:00,RT @ybahama: La situación de la huelga de transporte en los polígonos gallegos dista mucho del resto de España. Estamos a punto de que algu…, la situaci n de la huelga de transporte en los pol gonos gallegos dista mucho del resto de espa a  estamos a punto de que algu ,Pulgafeliz,es,0,1,2011-02-01 16:47:11+00:00,1260,False,16100,,,1504882037320212491
3931,2022-03-18 18:06:30+00:00,"Por qué no actuó la policía??
No eran de izquierdas??
Los piquetes de la huelga del transporte impiden el paso de camiones en varias carreteras de Córdoba https://t.co/6Yo4dQ97n4 vía @cordopolis_es",por qu  no actu  la polic a   no eran de izquierdas   los piquetes de la huelga del transporte impiden el paso de camiones en varias carreteras de c rdoba   v a   es,CarminaArias6,es,0,1,2021-05-11 17:53:16+00:00,3646,False,5762,,,1504881947532746754
3936,2022-03-18 18:06:18+00:00,"Viene al caso por esa plataforma no oficial, que dice representar al sector en huelga de patronos del transporte.
Por ello, si quieren tener representatividad para con el ministerio, deberían presentarse a elecciones.",viene al caso por esa plataforma no oficial  que dice representar al sector en huelga de patronos del transporte  por ello  si quieren tener representatividad para con el ministerio  deber an presentarse a elecciones ,JosVGarcia1,es,1,0,2021-01-11 12:51:14+00:00,1711,False,689,,,1504881897947738119
3939,2022-03-18 18:06:13+00:00,"La situación de la huelga de transporte en los polígonos gallegos dista mucho del resto de España. Estamos a punto de que alguien pierda la vida en un enfrentamiento. Está la cosa muy caliente, demasiada violencia. #HuelgaTransporte",la situaci n de la huelga de transporte en los pol gonos gallegos dista mucho del resto de espa a  estamos a punto de que alguien pierda la vida en un enfrentamiento  est  la cosa muy caliente  demasiada violencia   huelgatransporte,ybahama,es,0,1,2012-01-17 09:19:50+00:00,141,False,639, Spain,,1504881876128907265
3941,2022-03-18 18:05:59+00:00,RT @ElBierzoDigital: 📲 SIGUE EN DIRECTO LA HUELGA DE TRANSPORTE EN EL #BIERZO // AMPLIACIÓN 🔴 Le pinchan las ruedas a un camión que hizo no…,   sigue en directo la huelga de transporte en el  bierzo    ampliaci n   le pinchan las ruedas a un cami n que hizo no ,Alfrien,es,0,4,2009-05-12 18:34:47+00:00,121,False,7265,El mundo es único. Cuidémoslo.,,1504881816779595778
3951,2022-03-18 18:05:32+00:00,RT @getoutofhands: @PilarGGranja Pocos autónomos del transporte están en huelga.,   pocos aut nomos del transporte est n en huelga ,DuranEstevez00,es,0,1,2014-09-02 13:35:00+00:00,2100,False,87402,,,1504881705403957252
3952,2022-03-18 18:05:27+00:00,@CanaryAzote @rogajose Y quien diga que la huelga del transporte ha sido convocada por VOX qué es? Eh? Qué es? Hola? Hay algo aparte de serrín ahí?,    y quien diga que la huelga del transporte ha sido convocada por vox qu  es  eh  qu  es  hola  hay algo aparte de serr n ah  ,benmckenziesoy,es,0,0,2022-03-17 00:20:57+00:00,475,False,1630,,,1504881683308462087
