,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
114,2022-03-07 23:58:55+00:00,RT @walfonzo45: Jajajaja súper Bigote les vende gasolina pero que paguen 😝😝, jajajaja s per bigote les vende gasolina pero que paguen   ,es,0,382,2020-10-27 16:33:35+00:00,224,False,18136,,
115,2022-03-07 23:58:55+00:00,50min de 8M y ya estoy cansado de leer imbecilidades. Vivís en un país donde la desigualdad no existe. La gasolina a 2€\L y la luz a 500€. Que asco de sociedad,50min de 8m y ya estoy cansado de leer imbecilidades  viv s en un pa s donde la desigualdad no existe  la gasolina a 2  l y la luz a 500   que asco de sociedad,es,4,0,2011-10-23 22:21:00+00:00,634,False,6840,"Barcelona, Spain",
117,2022-03-07 23:58:53+00:00,"RT @GuaraCuchaFE: Hoy los transportistas amanecieron protestando porque eliminaron la gasolina subsidiada en muchas E/S

Recuerdo cuando se…", hoy los transportistas amanecieron protestando porque eliminaron la gasolina subsidiada en muchas e s  recuerdo cuando se ,es,0,1449,2011-02-11 14:34:43+00:00,386,False,74891,Caracas Venezuela,
118,2022-03-07 23:58:53+00:00,/DESASTRE PARA GASOLINA EN NUEVA ESPARTA/ https://t.co/BA2LDckDMJ, desastre para gasolina en nueva esparta   ,es,0,0,2011-05-17 17:11:47+00:00,7109,False,51,,
119,2022-03-07 23:58:53+00:00,RT @AJPalacios6: Muchas E/S pasaron de ser subsidiadas a pagar 0.50$ por litro ⛽ muchas personas se quedarán sin poder surtir #gasolina en…, muchas e s pasaron de ser subsidiadas a pagar 0 50  por litro   muchas personas se quedar n sin poder surtir  gasolina en ,es,0,64,2015-02-24 18:23:33+00:00,90,False,5707,,
120,2022-03-07 23:58:53+00:00,"RT @NellyPSUVYa: #SomosTierraDeGracia EEUU quiso asfixiar y presionar a Vzla con el bloqueo y la Gasolina, pero resultó q es EEUU quién se…",  somostierradegracia eeuu quiso asfixiar y presionar a vzla con el bloqueo y la gasolina  pero result  q es eeuu qui n se ,es,0,289,2019-04-10 02:15:09+00:00,2976,False,41101,,
121,2022-03-07 23:58:53+00:00,"RT @PFifiona: ¡Si ahora resulta que según AMLO todo es culpa de Peña y Calderón, pues entonces que regresen a la presidencia!

¡Al menos co…",  si ahora resulta que seg n amlo todo es culpa de pe a y calder n  pues entonces que regresen a la presidencia    al menos co ,es,0,71,2013-01-24 22:27:06+00:00,1328,False,108353,Estado De Mexico,
126,2022-03-07 23:58:49+00:00,"RT @9danielval: Estamos viviendo al borde de la miseria, pasando mas hambre que raton en ferreteria, nos aumentan la gasolina brutalmente y…", estamos viviendo al borde de la miseria  pasando mas hambre que raton en ferreteria  nos aumentan la gasolina brutalmente y ,es,0,66,2011-05-15 17:37:42+00:00,1576,False,87818,Venezuela,
127,2022-03-07 23:58:48+00:00,RT @AntonioMaestre: Si eres de clase trabajadora y oyes pacto de rentas significa que pagas la gasolina del yate a los ricos., si eres de clase trabajadora y oyes pacto de rentas significa que pagas la gasolina del yate a los ricos ,es,0,84,2019-06-12 09:56:41+00:00,51,False,40636,,
128,2022-03-07 23:58:48+00:00,"RT @Estrellitaa31: Gran lloradera por la gasolina, pero cuando les meten a $12 el cubetazo de 6 cervezas no dicen nada.
En fin .....🤧🤣", gran lloradera por la gasolina  pero cuando les meten a  12 el cubetazo de 6 cervezas no dicen nada  en fin        ,es,0,176,2019-01-03 03:51:25+00:00,333,False,109849,,
130,2022-03-07 23:58:46+00:00,RT @cracacraca: Me gusta dormir con unas gotas de gasolina 95., me gusta dormir con unas gotas de gasolina 95 ,es,0,157,2021-05-06 01:07:01+00:00,133,False,67637,,
131,2022-03-07 23:58:45+00:00,RT @PetroDivisa: Una delegación gringa de alto nivel vino al palacio de Miraflores pidiendo cacao ni más ni menos al Presidente @NicolasMad…, una delegaci n gringa de alto nivel vino al palacio de miraflores pidiendo cacao ni m s ni menos al presidente   ,es,0,200,2013-08-25 23:38:49+00:00,163,False,23303,"Valencia, Venezuela",
